year,commodity,guilders
1654,beer,6.85
1655,beer,6.92
1656,beer,6.92
1657,beer,6.81
1658,beer,12.14
1659,beer,6.79
1660,beer,6.9
1661,beer,6.83
1662,beer,6.81
1663,beer,6.83
1664,beer,6.9
1665,beer,6.9
1666,beer,8.05
1667,beer,7.48
1668,beer,6.79
1669,beer,7.48
1670,beer,8.05
1671,beer,9.15
1672,beer,8.63
1673,beer,8.63
1674,beer,8.63
1675,beer,9.2
1676,beer,9.2
1677,beer,6.72
1678,beer,6.61
1679,beer,6.33
1680,beer,6.19
1681,beer,6.12
1682,beer,7.02
1683,beer,7.67
1684,beer,6.33
1685,beer,6.33
1686,beer,6.03
1687,beer,6.9
1688,beer,6.9
1689,beer,6.9
1690,beer,7.29
1691,beer,6.74
1692,beer,9.2
1693,beer,7.43
1694,beer,8.63
1695,beer,9.61
1696,beer,6.42
1697,beer,6.61
1698,beer,6.61
1699,beer,6.9
1700,beer,6.9
1701,beer,6.49
1702,beer,6.74
1703,beer,7.27
1704,beer,11.59
1705,beer,16.1
1706,beer,6.44
1707,beer,6.53
1708,beer,5.61
1709,beer,7.25
1710,beer,7.25
1711,beer,7.15
1712,beer,14.95
1713,beer,9.96
1714,beer,12.88
1715,beer,12.88
1716,beer,13.8
1717,beer,13.34
1718,beer,13.34
1719,beer,12.88
1720,beer,10.81
1721,beer,11.5
1722,beer,11.5
1723,beer,11.73
1724,beer,11.5
1725,beer,11.5
1726,beer,11.5
1727,beer,11.5
1728,beer,11.5
1729,beer,11.5
1730,beer,11.5
1731,beer,11.5
1732,beer,11.5
1733,beer,11.5
1734,beer,11.5
1735,beer,11.5
1736,beer,11.5
1737,beer,11.5
1738,beer,11.5
1739,beer,11.5
1740,beer,11.5
1741,beer,13.05
1742,beer,10.36
1743,beer,9.25
1744,beer,10.11
1745,beer,9.99
1746,beer,13.06
1747,beer,13.36
1748,beer,13.63
1749,beer,12.08
1750,beer,10.44
1751,beer,10.31
1752,beer,10.23
1753,beer,10.2
1754,beer,9.1
1755,beer,10.67
1756,beer,11.84
1757,beer,13.56
1758,beer,12.9
1759,beer,11.79
1760,beer,10.68
1761,beer,12.74
1762,beer,13.36
1763,beer,12.64
1764,beer,11.56
1765,beer,11.38
1766,beer,12.09
1767,beer,12.7
1768,beer,13.2
1769,beer,12.47
1770,beer,12.06
1771,beer,14.94
1772,beer,16.95
1773,beer,12.2
1774,beer,11.01
1775,beer,11.29
1776,beer,11.74
1777,beer,11.71
1778,beer,11.28
1779,beer,11.22
1780,beer,11.77
1781,beer,14.58
1782,beer,16.42
1783,beer,13.31
1784,beer,12.98
1785,beer,12.63
1786,beer,12.12
1787,beer,12.55
1788,beer,12.94
1789,beer,13.94
1790,beer,14.22
1791,beer,13.45
1792,beer,14.08
1793,beer,14.02
1794,beer,14.77
1795,beer,26.64
1796,beer,25.88
1797,beer,17.75
1798,beer,17.27
1799,beer,20.65
1800,beer,22.9
1450,meat,1.96
1451,meat,2.23
1452,meat,1.95
1453,meat,2.32
1454,meat,2.55
1455,meat,2.97
1456,meat,2.74
1457,meat,2.53
1458,meat,2.19
1459,meat,2.12
1460,meat,2.15
1461,meat,2.7
1462,meat,2.17
1463,meat,2.27
1464,meat,1.8
1465,meat,1.84
1466,meat,1.84
1467,meat,2.14
1468,meat,2.31
1469,meat,2.47
1470,meat,2.43
1471,meat,2
1472,meat,1.93
1473,meat,2.47
1474,meat,2.09
1475,meat,2.48
1476,meat,2.34
1477,meat,2.45
1478,meat,2.78
1479,meat,3.06
1480,meat,3.14
1481,meat,2.86
1482,meat,3.7
1483,meat,2.47
1484,meat,3.25
1485,meat,3.73
1486,meat,3.16
1487,meat,2.61
1488,meat,2.44
1489,meat,2.05
1490,meat,2.29
1491,meat,1.78
1492,meat,2.4
1493,meat,2.93
1494,meat,2.13
1495,meat,3.22
1496,meat,2.8
1497,meat,3.09
1498,meat,2.31
1499,meat,1.89
1500,meat,2.8
1501,meat,2.54
1502,meat,2.65
1503,meat,2.87
1504,meat,2.74
1505,meat,2.45
1506,meat,2.47
1507,meat,1.73
1508,meat,3.02
1509,meat,2.27
1510,meat,2.93
1511,meat,3.13
1512,meat,2.8
1513,meat,2.67
1514,meat,2.58
1515,meat,2.13
1516,meat,2.82
1517,meat,3.13
1518,meat,2.53
1519,meat,2.29
1520,meat,2.47
1521,meat,1.87
1522,meat,2.53
1523,meat,3.4
1524,meat,3.07
1525,meat,2.96
1526,meat,3
1527,meat,2.98
1528,meat,3.42
1529,meat,2.53
1530,meat,3.82
1531,meat,3.53
1532,meat,2.76
1533,meat,3.42
1534,meat,3.27
1535,meat,2.53
1536,meat,2.93
1537,meat,2.88
1538,meat,2.99
1539,meat,3.12
1540,meat,2.7
1541,meat,3.17
1542,meat,3.13
1543,meat,4.2
1544,meat,4.2
1545,meat,4.49
1546,meat,4.02
1547,meat,3.9
1548,meat,4.07
1549,meat,3.93
1550,meat,4.2
1551,meat,4.22
1552,meat,3.6
1553,meat,4.6
1554,meat,4.84
1555,meat,5
1556,meat,5
1557,meat,5.31
1558,meat,4.69
1559,meat,4.69
1560,meat,4.85
1561,meat,4.38
1562,meat,4.84
1563,meat,5.94
1564,meat,6.1
1565,meat,6.2
1566,meat,6.41
1567,meat,6.25
1568,meat,6.25
1569,meat,6.1
1570,meat,6.25
1571,meat,5
1572,meat,6.81
1573,meat,5.31
1574,meat,7.4
1575,meat,9.54
1576,meat,8.75
1577,meat,7.5
1578,meat,6.25
1579,meat,8.13
1580,meat,9
1581,meat,9
1582,meat,8
1583,meat,8
1584,meat,6
1585,meat,7
1586,meat,8
1587,meat,8
1588,meat,8
1589,meat,9
1590,meat,9
1591,meat,9
1592,meat,9
1593,meat,9
1594,meat,10
1595,meat,11
1596,meat,10
1597,meat,10.63
1598,meat,11.25
1599,meat,10.94
1600,meat,10.94
1601,meat,11.88
1602,meat,12.19
1603,meat,12.5
1604,meat,12.5
1605,meat,11.88
1606,meat,11.44
1607,meat,11.25
1608,meat,10.75
1609,meat,12.5
1610,meat,12.5
1611,meat,11.88
1612,meat,11.88
1613,meat,12.5
1614,meat,12.5
1615,meat,12.5
1616,meat,12.5
1617,meat,12.5
1618,meat,12.5
1619,meat,12.5
1620,meat,12.5
1621,meat,12.5
1622,meat,12.5
1623,meat,12.81
1624,meat,13.13
1625,meat,14.06
1626,meat,15
1627,meat,15
1628,meat,15
1629,meat,15
1630,meat,15
1631,meat,15
1632,meat,17.5
1633,meat,14.94
1634,meat,16.21
1635,meat,16.45
1636,meat,17.5
1637,meat,17.5
1638,meat,17.5
1639,meat,17.5
1640,meat,17.5
1641,meat,18.13
1642,meat,18.75
1643,meat,18.75
1644,meat,18.75
1645,meat,18.75
1646,meat,18.75
1647,meat,18.75
1648,meat,18.75
1649,meat,18.75
1650,meat,18.75
1651,meat,18.75
1652,meat,18.75
1653,meat,18.75
1654,meat,18.75
1655,meat,18.75
1656,meat,18.75
1657,meat,18.75
1658,meat,18.75
1659,meat,18.75
1660,meat,18.75
1661,meat,18.75
1662,meat,18.75
1663,meat,18.75
1664,meat,18.75
1665,meat,18.75
1666,meat,18.75
1667,meat,18.75
1668,meat,18.75
1669,meat,18.75
1670,meat,18.75
1671,meat,18.75
1672,meat,18.75
1673,meat,18.75
1674,meat,20
1675,meat,20
